symbol,full_name,description,exchange,type
SFMF,SFMF,Sunrise First Mutual Fund,Mutual Fund src:Nepsealpha.com,stock
SGI,SGI,Sanima General Insurance Company Limited,Non Life Insurance src:Nepsealpha.com,stock
SHBL,SHBL,Sahara Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock
SHBLPO,SHBLPO,Sahara Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SHEL,SHEL,Singati Hydro Energy Limited,Hydro Power src:Nepsealpha.com,stock
SHINE,SHINE,Shine Resunga Development Bank Ltd.,Development Banks src:Nepsealpha.com,stock
SHINEP,SHINEP,Shine Resunga Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SHIVM,SHIVM,SHIVAM CEMENTS LTD,Manufacturing And Processing src:Nepsealpha.com,stock
SHL,SHL,Soaltee Hotel Limited,Hotels and Tourism src:Nepsealpha.com,stock
SHPC,SHPC,Sanima Mai Hydropower Ltd.,Hydro Power src:Nepsealpha.com,stock
SIC,SIC,Sagarmatha Insurance Co. Ltd.,Non Life Insurance src:Nepsealpha.com,stock
SICL,SICL,Shikhar Insurance Co. Ltd.,Non Life Insurance src:Nepsealpha.com,stock
SICLPO,SICLPO,Shikhar Insurance Co. Ltd. Promoter,Promoter Share src:Nepsealpha.com,stock
SICPO,SICPO,Sagarmatha Insurance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SIFC,SIFC,Shree Investment Finance Co. Ltd.,Finance src:Nepsealpha.com,stock
SIFCPO,SIFCPO,Shree Investment & Finance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SIGS2,SIGS2,Siddhartha Investment Growth Scheme - 2,Mutual Fund src:Nepsealpha.com,stock
SIL,SIL,Siddhartha Insurance Ltd.,Non Life Insurance src:Nepsealpha.com,stock
SILPO,SILPO,Siddhartha Insurance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SINDU,SINDU,Sindhu Bikash Bank Ltd,Development Banks src:Nepsealpha.com,stock
SINDUP,SINDUP,Sindhu Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SJCL,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,Hydro Power src:Nepsealpha.com,stock
SKBBL,SKBBL,Sana Kisan Bikas Bank Ltd,Microfinance src:Nepsealpha.com,stock
SKBBLP,SKBBLP,Sana Kisan Bikas Bank Ltd Promoter Share,Promoter Share src:Nepsealpha.com,stock
SLBBL,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,Microfinance src:Nepsealpha.com,stock
SLBBLP,SLBBLP,Swarojgar Laghu Bitta Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SLBS,SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
SLBSL,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
SLCF,SLCF,Sanima Large Cap Fund,Mutual Fund Index src:Nepsealpha.com,stock
SLI,SLI,Sanima Life Insurance Limited,Life Insurance src:Nepsealpha.com,stock
SLICL,SLICL,Surya Life Insurance Company Limited,Life Insurance src:Nepsealpha.com,stock
SLICLP,SLICLP,Surya Life Insurance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SMATA,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
SMATAP,SMATAP,Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share src:Nepsealpha.com,stock
SMB,SMB,Support Microfinance Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
SMBPO,SMBPO,Support Microfinance Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SMFBS,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
SMFDB,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
SMFDBP,SMFDBP,Summit Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
SNLB,SNLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
SPARS,SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
SPCL,SPCL,Samling Power Company Limited,Hydro Power src:Nepsealpha.com,stock
SPDL,SPDL,Synergy Power Development Ltd.,Hydro Power src:Nepsealpha.com,stock
SRBL,SRBL,Sunrise Bank Limited,Commercial Banks src:Nepsealpha.com,stock
SRBLD83,SRBLD83,10.25% Sunrise Bank Debenture 2083,Corporate Debenture src:Nepsealpha.com,stock
SRBLPO,SRBLPO,Sunrise Bank Ltd Promoter Share,Promoter Share src:Nepsealpha.com,stock
SRD80,SRD80,10% Sunrise Debenture 2080,Corporate Debenture src:Nepsealpha.com,stock
SRS,SRS,Shree Ram Sugar Mills Limited,Manufacturing And Processing src:Nepsealpha.com,stock
SSHL,SSHL,Shiva Shree Hydropower Ltd,Hydro Power src:Nepsealpha.com,stock
SSIS,SSIS,Siddhartha Systematic Investment Scheme,Mutual Fund src:Nepsealpha.com,stock
STC,STC,Salt Trading Corporation,Tradings src:Nepsealpha.com,stock
SWBBL,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
SWBBLP,SWBBLP,Swabalamban Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
SYFL,SYFL,Synergy Finance Ltd.,Finance src:Nepsealpha.com,stock
SYFLPO,SYFLPO,Synergy Finance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
TMDBL,TMDBL,Tinau Mission Development Bank Limited,Development Banks src:Nepsealpha.com,stock
TMDBLP,TMDBLP,Tinau Mission Development Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
TPCL,TPCL,Terhathum Power Company Limited,Hydro Power src:Nepsealpha.com,stock
TRADING,TRADING,Trading,Trading src:Nepsealpha.com,index
TRH,TRH,Taragaon Regency Hotel Limited,Hotels and Tourism src:Nepsealpha.com,stock
TRHPR,TRHPR,Taragaon Regency Hotels Ltd. Preference Share,Preferred Stock src:Nepsealpha.com,stock
UFL,UFL,United Finance Ltd.,Finance src:Nepsealpha.com,stock
UFLPO,UFLPO,United Finance Company Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
UIC,UIC,United Insurance Co. (Nepal) Ltd.,Non Life Insurance src:Nepsealpha.com,stock
UICPO,UICPO,United Insurance Co. (Nepal) Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
ULI,ULI,Union Life Insurance Co. Ltd.,Life Insurance src:Nepsealpha.com,stock
UMB,UMB,UNNATI LAGHUBITTA BITTIYA SANSTHA LIMITED,Microfinance src:Nepsealpha.com,stock
UMBPO,UMBPO,Unnnati Microfinance Bittya Shansha Ltd Promoter Share,Promoter Share src:Nepsealpha.com,stock
UMHL,UMHL,United Modi Hydropower Ltd.,Hydro Power src:Nepsealpha.com,stock
